i: 1, j: 0, Vt_id: 0, type: -1, level: 115
i: 3, j: 0, Vt_id: 1, type: -1, level: 115
i: 2, j: 0, Vt_id: 2, type: -1, level: 740147264
i: 2, j: 1, Vt_id: 3, type: -1, level: 115
i: 2, j: 2, Vt_id: 4, type: -1, level: 115
i: 1, j: 0, Vt_id: 0, type: -1, level: 115
i: 3, j: 1, Vt_id: 1, type: -1, level: 115
i: 2, j: 3, Vt_id: 5, type: -1, level: 740147264
i: 1, j: 0, Vt_id: 0, type: -1, level: 115
i: 3, j: 2, Vt_id: 1, type: -1, level: 115
i: 2, j: 3, Vt_id: 5, type: -1, level: 740147264
i: 1, j: 0, Vt_id: 0, type: -1, level: 115
i: 3, j: 3, Vt_id: 1, type: -1, level: 115
i: 2, j: 3, Vt_id: 5, type: -1, level: 740147264
i: 1, j: 0, Vt_id: 0, type: -1, level: 115
i: 1, j: 1, Vt_id: 1, type: -1, level: 115
i: 2, j: 3, Vt_id: 5, type: -1, level: 115
i: 1, j: 2, Vt_id: 6, type: -1, level: 115
i: 2, j: 0, Vt_id: 2, type: -1, level: 740147264
i: 3, j: 1, Vt_id: 1, type: -1, level: 115
i: 2, j: 4, Vt_id: 7, type: -1, level: 115
i: 3, j: 3, Vt_id: 1, type: -1, level: 115
i: 2, j: 1, Vt_id: 3, type: -1, level: 740147264
i: 2, j: 2, Vt_id: 4, type: -1, level: 115
i: 3, j: 1, Vt_id: 1, type: -1, level: 115
i: 2, j: 5, Vt_id: 8, type: -1, level: 115
i: 3, j: 1, Vt_id: 1, type: -1, level: 115
i: 2, j: 6, Vt_id: 9, type: -1, level: 115
i: 3, j: 2, Vt_id: 1, type: -1, level: 115
i: 2, j: 3, Vt_id: 5, type: -1, level: 740147264
i: 2, j: 7, Vt_id: 10, type: -1, level: 115
i: 1, j: 3, Vt_id: 11, type: -1, level: 115
i: 2, j: 2, Vt_id: 4, type: -1, level: 115
i: 3, j: 2, Vt_id: 1, type: -1, level: 115
i: 2, j: 5, Vt_id: 8, type: -1, level: 115
i: 3, j: 2, Vt_id: 1, type: -1, level: 115
i: 2, j: 6, Vt_id: 9, type: -1, level: 115
i: 3, j: 3, Vt_id: 1, type: -1, level: 115
i: 2, j: 3, Vt_id: 5, type: -1, level: 740147264
i: 2, j: 7, Vt_id: 10, type: -1, level: 115
i: 2, j: 7, Vt_id: 10, type: -1, level: 115
